,station,latitude,longitude,year,aqi_pm10,kualitas_udara,month,PM10,musim
0,Aotizhongxin,39.9092,116.3972,2013,79.65592833587525,Sedang,,,
1,Aotizhongxin,39.9092,116.3972,2014,84.03307713555334,Sedang,,,
2,Aotizhongxin,39.9092,116.3972,2015,79.26281652099263,Sedang,,,
3,Aotizhongxin,39.9092,116.3972,2016,70.50599427666609,Sedang,,,
4,Changping,40.2,116.2,2013,68.91971124208627,Sedang,,,
5,Changping,40.2,116.2,2014,76.75124363534539,Sedang,,,
6,Changping,40.2,116.2,2015,70.16436567835929,Sedang,,,
7,Changping,40.2,116.2,2016,66.39517592735949,Sedang,,,
8,Dingling,40.235,116.196,2013,62.74700753067653,Sedang,,,
9,Dingling,40.235,116.196,2014,68.7861202243546,Sedang,,,
10,Dingling,40.235,116.196,2015,66.11216155882231,Sedang,,,
11,Dingling,40.235,116.196,2016,63.45594325970962,Sedang,,,
12,Dongsi,39.933,116.416,2013,75.62959398363043,Sedang,,,
13,Dongsi,39.933,116.416,2014,81.79980112338608,Sedang,,,
14,Dongsi,39.933,116.416,2015,79.19662095669945,Sedang,,,
15,Dongsi,39.933,116.416,2016,74.45652250020473,Sedang,,,
16,Guanyuan,39.951,116.309,2013,77.09517059209823,Sedang,,,
17,Guanyuan,39.951,116.309,2014,81.2225324060626,Sedang,,,
18,Guanyuan,39.951,116.309,2015,76.4236464982133,Sedang,,,
19,Guanyuan,39.951,116.309,2016,75.44934274477701,Sedang,,,
20,Gucheng,39.913,116.204,2013,79.47960752281297,Sedang,,,
21,Gucheng,39.913,116.204,2014,90.14381041526563,Sedang,,,
22,Gucheng,39.913,116.204,2015,81.34931304499894,Sedang,,,
23,Gucheng,39.913,116.204,2016,78.46881183420618,Sedang,,,
24,Huairou,40.43,116.64,2013,71.20236841642054,Sedang,,,
25,Huairou,40.43,116.64,2014,73.29582980256288,Sedang,,,
26,Huairou,40.43,116.64,2015,68.07048343273838,Sedang,,,
27,Huairou,40.43,116.64,2016,64.39157481303317,Sedang,,,
28,Nongzhanguan,39.932,116.45,2013,75.15739381747181,Sedang,,,
29,Nongzhanguan,39.932,116.45,2014,86.01350374095803,Sedang,,,
30,Nongzhanguan,39.932,116.45,2015,77.02483581230045,Sedang,,,
31,Nongzhanguan,39.932,116.45,2016,71.72066625033695,Sedang,,,
32,Shunyi,40.13,116.652,2013,70.59434324194342,Sedang,,,
33,Shunyi,40.13,116.652,2014,78.8302879063488,Sedang,,,
34,Shunyi,40.13,116.652,2015,73.21109998823825,Sedang,,,
35,Shunyi,40.13,116.652,2016,66.90482071492868,Sedang,,,
36,Tiantan,39.884,116.414,2013,77.36756896136994,Sedang,,,
37,Tiantan,39.884,116.414,2014,80.55927082295264,Sedang,,,
38,Tiantan,39.884,116.414,2015,74.74837042897997,Sedang,,,
39,Tiantan,39.884,116.414,2016,71.72526143819842,Sedang,,,
40,Wanliu,39.979,116.307,2013,79.33997964189874,Sedang,,,
41,Wanliu,39.979,116.307,2014,88.37476859654718,Sedang,,,
42,Wanliu,39.979,116.307,2015,76.66663493873914,Sedang,,,
43,Wanliu,39.979,116.307,2016,69.62121435661086,Sedang,,,
44,Wanshouxigong,39.905,116.307,2013,78.8564323459264,Sedang,,,
45,Wanshouxigong,39.905,116.307,2014,86.38165544202661,Sedang,,,
46,Wanshouxigong,39.905,116.307,2015,78.78424954987501,Sedang,,,
47,Wanshouxigong,39.905,116.307,2016,72.51623604952628,Sedang,,,
0,Aotizhongxin,,,2014,85.97844296624784,,1.0,125.67073170731707,Musim Dingin
1,Aotizhongxin,,,2015,80.67924016282225,,1.0,114.96417910447762,Musim Dingin
2,Aotizhongxin,,,2016,66.78122255160298,,1.0,86.88451086956522,Musim Dingin
3,Aotizhongxin,,,2014,98.38402400730119,,2.0,150.73506891271057,Musim Dingin
4,Aotizhongxin,,,2015,84.94670846394985,,2.0,123.58620689655173,Musim Dingin
5,Aotizhongxin,,,2016,53.680022771063236,,2.0,60.414739884393065,Musim Dingin
6,Aotizhongxin,,,2013,95.05050505050505,,3.0,144.0,Musim Semi
7,Aotizhongxin,,,2014,96.45618822634952,,3.0,146.84005376344086,Musim Semi
8,Aotizhongxin,,,2015,100.71058181263943,,3.0,155.43566529492458,Musim Semi
9,Aotizhongxin,,,2016,100.69415306915307,,3.0,155.40247252747253,Musim Semi
10,Aotizhongxin,,,2013,77.33337542087543,,4.0,108.20416666666667,Musim Semi
11,Aotizhongxin,,,2014,107.95999691572212,,4.0,170.0824427480916,Musim Semi
12,Aotizhongxin,,,2015,90.4641819034224,,4.0,134.7337552742616,Musim Semi
13,Aotizhongxin,,,2016,80.53733105704937,,4.0,114.6774647887324,Musim Semi
14,Aotizhongxin,,,2013,93.45588954056696,,5.0,140.77822580645162,Musim Semi
15,Aotizhongxin,,,2014,90.57114487263945,,5.0,134.9498641304348,Musim Semi
16,Aotizhongxin,,,2015,78.38698303792643,,5.0,110.33288409703503,Musim Semi
17,Aotizhongxin,,,2016,61.493732999822306,,5.0,76.20162381596752,Musim Semi
18,Aotizhongxin,,,2013,87.48602693602695,,6.0,128.71666666666667,Musim Panas
19,Aotizhongxin,,,2014,53.98074186777116,,6.0,61.02231520223152,Musim Panas
20,Aotizhongxin,,,2015,66.11068188971872,,6.0,85.52974504249292,Musim Panas
21,Aotizhongxin,,,2016,59.365548897105704,,6.0,71.90182328190744,Musim Panas
22,Aotizhongxin,,,2013,66.03192300362112,,7.0,85.37061994609165,Musim Panas
23,Aotizhongxin,,,2014,70.02969998492387,,7.0,93.44776119402985,Musim Panas
24,Aotizhongxin,,,2015,65.11813254496181,,7.0,83.52439024390245,Musim Panas
25,Aotizhongxin,,,2016,62.39352970262061,,7.0,78.01958041958042,Musim Panas
26,Aotizhongxin,,,2013,65.57905669599218,,8.0,84.45564516129032,Musim Panas
27,Aotizhongxin,,,2014,65.0927863541071,,8.0,83.47318059299191,Musim Panas
28,Aotizhongxin,,,2015,58.938773822812024,,8.0,71.03956343792633,Musim Panas
29,Aotizhongxin,,,2016,48.24386332798816,,8.0,49.431478968792405,Musim Panas
30,Aotizhongxin,,,2013,75.7702231225908,,9.0,105.04596100278552,Musim Gugur
31,Aotizhongxin,,,2014,74.6161714365881,,9.0,102.71430555555555,Musim Gugur
32,Aotizhongxin,,,2015,58.95339858386403,,9.0,71.0691114245416,Musim Gugur
33,Aotizhongxin,,,2016,57.857068539471975,,9.0,68.85407725321889,Musim Gugur
34,Aotizhongxin,,,2013,83.214293472358,,10.0,120.08602150537635,Musim Gugur
35,Aotizhongxin,,,2014,103.36388645742153,,10.0,160.79642365887207,Musim Gugur
36,Aotizhongxin,,,2015,71.97814163136744,,10.0,97.38440860215054,Musim Gugur
37,Aotizhongxin,,,2016,72.94743657901553,,10.0,99.34278002699055,Musim Gugur
38,Aotizhongxin,,,2013,76.06094276094277,,11.0,105.63333333333334,Musim Gugur
39,Aotizhongxin,,,2014,89.45522543874499,,11.0,132.69525139664805,Musim Gugur
40,Aotizhongxin,,,2015,88.66293399438675,,11.0,131.09449929478137,Musim Gugur
41,Aotizhongxin,,,2016,86.23146745230079,,11.0,126.18194444444444,Musim Gugur
42,Aotizhongxin,,,2013,76.57704735527317,,12.0,106.6760752688172,Musim Dingin
43,Aotizhongxin,,,2014,72.5086170988233,,12.0,98.45618556701031,Musim Dingin
44,Aotizhongxin,,,2015,106.2040404040404,,12.0,166.534693877551,Musim Dingin
45,Aotizhongxin,,,2016,95.84655437279932,,12.0,145.60834454912518,Musim Dingin
46,Changping,,,2014,78.13882662238827,,1.0,109.83150684931506,Musim Dingin
47,Changping,,,2015,80.6716153359205,,1.0,114.94877384196184,Musim Dingin
48,Changping,,,2016,63.524432416178016,,1.0,80.30446549391068,Musim Dingin
49,Changping,,,2014,95.3212401363403,,2.0,144.54699537750386,Musim Dingin
50,Changping,,,2015,81.4969030636197,,2.0,116.61619190404798,Musim Dingin
51,Changping,,,2016,52.038747416105906,,2.0,57.09869375907112,Musim Dingin
52,Changping,,,2013,84.86944715976975,,3.0,123.43010752688173,Musim Semi
53,Changping,,,2014,87.0568046051917,,3.0,127.84946236559139,Musim Semi
54,Changping,,,2015,94.38432611436727,,3.0,142.65404663923184,Musim Semi
55,Changping,,,2016,85.87739606157069,,3.0,125.46657571623466,Musim Semi
56,Changping,,,2013,68.3135949199927,,4.0,89.98052851182197,Musim Semi
57,Changping,,,2014,94.3923355694348,,4.0,142.6702290076336,Musim Semi
58,Changping,,,2015,72.83400626177624,,4.0,99.11360448807854,Musim Semi
59,Changping,,,2016,76.48780765400484,,4.0,106.49577464788733,Musim Semi
60,Changping,,,2013,82.26497501900728,,5.0,118.16801075268818,Musim Semi
61,Changping,,,2014,73.49089141754014,,5.0,100.4407806191117,Musim Semi
62,Changping,,,2015,67.01158285411313,,5.0,87.34993270524899,Musim Semi
63,Changping,,,2016,62.18163755852889,,5.0,77.59147180192572,Musim Semi
64,Changping,,,2013,74.48290976524635,,6.0,102.44506258692628,Musim Panas
65,Changping,,,2014,53.53204987647824,,6.0,60.11577424023155,Musim Panas
66,Changping,,,2015,61.3337036049646,,6.0,75.8782991202346,Musim Panas
67,Changping,,,2016,57.13322031503849,,6.0,67.39160839160839,Musim Panas
68,Changping,,,2013,56.02430512956829,,7.0,65.15114709851552,Musim Panas
69,Changping,,,2014,73.86159377710624,,7.0,101.18975069252078,Musim Panas
