,station,month,year,PM10,musim
0,Aotizhongxin,1,2014,125.67073170731707,Musim Dingin
1,Aotizhongxin,1,2015,114.96417910447762,Musim Dingin
2,Aotizhongxin,1,2016,86.88451086956522,Musim Dingin
3,Aotizhongxin,2,2014,150.73506891271057,Musim Dingin
4,Aotizhongxin,2,2015,123.58620689655173,Musim Dingin
5,Aotizhongxin,2,2016,60.414739884393065,Musim Dingin
6,Aotizhongxin,3,2013,144.0,Musim Semi
7,Aotizhongxin,3,2014,146.84005376344086,Musim Semi
8,Aotizhongxin,3,2015,155.43566529492458,Musim Semi
9,Aotizhongxin,3,2016,155.40247252747253,Musim Semi
10,Aotizhongxin,4,2013,108.20416666666667,Musim Semi
11,Aotizhongxin,4,2014,170.0824427480916,Musim Semi
12,Aotizhongxin,4,2015,134.7337552742616,Musim Semi
13,Aotizhongxin,4,2016,114.6774647887324,Musim Semi
14,Aotizhongxin,5,2013,140.77822580645162,Musim Semi
15,Aotizhongxin,5,2014,134.9498641304348,Musim Semi
16,Aotizhongxin,5,2015,110.33288409703503,Musim Semi
17,Aotizhongxin,5,2016,76.20162381596752,Musim Semi
18,Aotizhongxin,6,2013,128.71666666666667,Musim Panas
19,Aotizhongxin,6,2014,61.02231520223152,Musim Panas
20,Aotizhongxin,6,2015,85.52974504249292,Musim Panas
21,Aotizhongxin,6,2016,71.90182328190744,Musim Panas
22,Aotizhongxin,7,2013,85.37061994609165,Musim Panas
23,Aotizhongxin,7,2014,93.44776119402985,Musim Panas
24,Aotizhongxin,7,2015,83.52439024390245,Musim Panas
25,Aotizhongxin,7,2016,78.01958041958042,Musim Panas
26,Aotizhongxin,8,2013,84.45564516129032,Musim Panas
27,Aotizhongxin,8,2014,83.47318059299191,Musim Panas
28,Aotizhongxin,8,2015,71.03956343792633,Musim Panas
29,Aotizhongxin,8,2016,49.431478968792405,Musim Panas
30,Aotizhongxin,9,2013,105.04596100278552,Musim Gugur
31,Aotizhongxin,9,2014,102.71430555555555,Musim Gugur
32,Aotizhongxin,9,2015,71.0691114245416,Musim Gugur
33,Aotizhongxin,9,2016,68.85407725321889,Musim Gugur
34,Aotizhongxin,10,2013,120.08602150537635,Musim Gugur
35,Aotizhongxin,10,2014,160.79642365887207,Musim Gugur
36,Aotizhongxin,10,2015,97.38440860215054,Musim Gugur
37,Aotizhongxin,10,2016,99.34278002699055,Musim Gugur
38,Aotizhongxin,11,2013,105.63333333333334,Musim Gugur
39,Aotizhongxin,11,2014,132.69525139664805,Musim Gugur
40,Aotizhongxin,11,2015,131.09449929478137,Musim Gugur
41,Aotizhongxin,11,2016,126.18194444444444,Musim Gugur
42,Aotizhongxin,12,2013,106.6760752688172,Musim Dingin
43,Aotizhongxin,12,2014,98.45618556701031,Musim Dingin
44,Aotizhongxin,12,2015,166.534693877551,Musim Dingin
45,Aotizhongxin,12,2016,145.60834454912518,Musim Dingin
